station_name,line_name,description,todo
제기동역,1호선,"경동시장과 한방 향기가 가득한 활기찬 전통시장 사이로, 정릉천 물길까지 이어지는 정겨운 역이에요.","1. 활기찬 전통시장 구경 및 한방 체험하기
2. 인근 역사문화 공간에서 가볍게 역사 둘러보기
3. 가성비 좋은 동네 맛집에서 든든하게 식사하기
4. 정릉천 물길을 따라 천천히 산책하기"
동묘앞역,1호선,"동묘벼룩시장의 빈티지 소품과 오래된 골목 상권이 어우러진, 레트로 감성이 살아있는 역이에요.","1. 벼룩시장과 완구거리에서 빈티지 소품 구경하기
2. 오래된 서점이나 골목을 거닐며 레트로 감성 느끼기
3. 가성비 좋은 골목 식당에서 특색 있는 식사 즐기기
4. 청계천을 걸은 후 아늑한 카페에서 쉬어가기"
신설동역,1호선,"서울풍물시장과 청계천을 따라, 옛 정취와 든든한 동네 밥집이 공존하는 정겨운 역이에요.","1. 풍물시장과 종합시장에서 옛 정취 느끼며 걷기
2. 인근 박물관을 둘러보며 지역 역사 알아가기
3. 든든하고 가성비 좋은 동네 식당 방문하기
4. 청계천 산책 후 감성 가득한 카페에서 여유 즐기기"
외대앞역,1호선,"대학가 특유의 활기와 의릉·천장산 산책길이 함께하는, 젊고 여유로운 분위기의 역이에요.","1. 대학 캠퍼스 주변 문화공간 구경하기
2. 활기찬 대학가 식당에서 다양하게 식사하기
3. 인근 산책길을 걸으며 자연 느끼기
4. 대학가 골목 곳곳에 숨겨진 조용한 카페 들르기"
남영역,1호선,"전쟁기념관과 효창공원 사이로, 차분한 역사와 로스터리 카페의 향이 흐르는 역이에요.","1. 인근 박물관과 기념관에서 전시 살펴보기
2. 분위기 좋고 정갈한 골목 맛집 탐방하기
3. 주변 공원과 숲길에서 숲 내음 맡으며 산책하기
4. 직접 로스팅한 커피가 있는 카페에서 차분히 쉬어가기"
문래역,2호선,"낡은 철공소와 예술가의 작업실이 뒤섞인, 독특한 창작 감성이 살아있는 역이에요.","1. 창작촌 골목에서 예술가들의 작업실 구경하기
2. 갤러리와 예술공간에서 다양한 작품 체험하기
3. 이국적이거나 가성비 좋은 맛집에서 한 끼 식사하기
4. 안양천이나 도림천을 산책하고 감성적인 카페 들르기"
아현역,2호선,"가구거리와 오래된 골목 맛집 사이로, 정겨운 동네 생활감이 느껴지는 역이에요.","1. 가구거리를 구경하며 테마 거리 걷기
2. 인근 대학 문화공간에서 전시 관람하기
3. 동네 사람들이 즐겨 찾는 골목 맛집에서 푸짐하게 식사하기
4. 언덕을 따라 이어진 공원 길 가볍게 산책하기"
한양대역,2호선,"대학가의 활기와 중랑천 물길이 어우러진, 젊고 사진 찍기 좋은 감성의 역이에요.","1. 대학가 주변 전시 및 공연 즐기기
2. 대학가 가성비 맛집에서 든든하게 배 채우기
3. 중랑천 물길을 따라 가볍게 걷기
4. 아늑하고 사진 찍기 좋은 감성 카페에서 여유 즐기기"
잠실나루역,2호선,"서울책보고와 올림픽공원, 석촌호수까지 탁 트인 자연과 여유가 흐르는 역이에요.","1. 대형 헌책방에서 조용히 책을 읽고 동네 분위기 느끼기
2. 인근 미술관에서 핫한 전시 작품 구경하기
3. 탁 트인 공원이나 호수, 한강공원에서 자연 만끽하기
4. 상가 인근 로스터리 카페에서 깊은 커피 향 즐기기"
양천구청역,2호선,"문화공간과 안양천 물길을 따라, 조용히 문화생활을 즐기기 좋은 차분한 역이에요.","1. 인근 문화예술센터와 회관에서 문화생활 즐기기
2. 공원 책쉼터에 앉아 조용히 시간 보내기
3. 가성비 좋은 취향에 맞는 동네 맛집에서 식사하기
4. 안양천 물길을 따라 천천히 걷고 분위기 좋은 카페 가기"
신정네거리역,2호선,"신정제일시장의 활기와 공원 책쉼터의 여유가 공존하는, 정겨운 동네 분위기의 역이에요.","1. 전통시장을 구경하며 활기찬 동네 분위기 느끼기
2. 푸짐하고 정겨운 동네 맛집 탐방하기
3. 인근 공원들에서 나무 그늘 따라 걷기
4. 공원 책쉼터나 감성 가득한 동네 카페에서 차분하게 쉬어가기"
독립문역,3호선,"서대문형무소와 인왕산 자락 사이로, 깊은 역사와 한옥 감성이 어우러진 역이에요.","1. 인근 역사관과 기념관에서 역사 둘러보기
2. 전통시장 구경하고 가성비 좋은 먹거리 찾기
3. 산자락길과 성곽길을 걸으며 풍경 감상하기
4. 정갈한 한상차림 식사 후 한옥 감성의 카페에서 쉬어가기"
무악재역,3호선,"인왕산 숲길과 무악재하늘다리에서 탁 트인 풍경을 즐길 수 있는, 조용한 산자락 역이에요.","1. 특색 있는 인근 문화공간 구경하기
2. 숲속 쉼터와 다리에서 탁 트인 풍경 보며 산책하기
3. 가성비 좋은 동네 식당에서 든든하게 식사하기
4. 숲속 쉼터나 아늑한 골목 카페에서 조용히 시간 보내기"
금호역,3호선,"금남시장과 매봉산·금호산 언덕 사이로, 복합문화공간과 골목 감성이 흐르는 역이에요.","1. 전통시장을 구경하며 걷기 좋은 동네 산책하기
2. 인근 복합문화공간 둘러보기
3. 동네 산과 언덕에 가볍게 오르며 탁 트인 경치 감상하기
4. 맛있는 식사 후 조용한 동네 감성 카페 들르기"
옥수역,3호선,"매봉산 팔각정에서 동네를 내려다보며, 갤러리와 베이커리 향이 어우러진 언덕 위 역이에요.","1. 인근 갤러리와 문화공간에서 전시 둘러보기
2. 언덕 위 팔각정과 공원에서 동네 풍경 내려다보기
3. 분위기 좋은 맛집에서 여유로운 한 끼 식사하기
4. 갓 구운 빵이 있는 베이커리 카페나 조용한 카페에서 휴식하기"
잠원역,3호선,"서울웨이브아트센터와 잠원한강공원을 따라, 강변의 여유와 감성이 흐르는 역이에요.","1. 강 위에 뜬 멋진 아트센터에서 전시 관람하기
2. 인근 쇼핑몰에서 여유로운 시간 보내기
3. 한강공원과 정원을 따라 산책하며 사진 남기기
4. 동네 가성비 맛집을 방문하고 감성 카페 들르기"
한성대입구역,4호선,"낙산 성곽길과 성북천을 따라, 고즈넉한 옛 정취와 골목 감성이 살아있는 역이에요.","1. 옛집과 박물관에서 고즈넉한 옛 분위기 느끼기
2. 성곽길과 마을을 걸으며 성곽 풍경 즐기기
3. 푸짐하고 다양한 골목 맛집 탐방하기
4. 성북천을 산책한 뒤 차분한 카페에서 쉬어가기"
성신여대입구역,4호선,"대학가의 활기 속에 성북천 산책길과 감성 카페가 숨어 있는, 젊고 아기자기한 역이에요.","1. 인근 실내 문화공간에서 구경하며 시간 보내기
2. 대학가 주변 가성비 맛집에서 든든하게 식사하기
3. 성북천 물길을 따라 천천히 걸으며 산책하기
4. 골목 곳곳에 숨겨진 감성 베이커리와 카페 투어하기"
수유역,4호선,"동네 책방과 우이천 물길을 따라, 소박하고 정겨운 생활 감성이 흐르는 역이에요.","1. 동네 책방과 중고서점에서 조용히 책 구경하기
2. 인근 산을 가볍게 오르거나 우이천 물길 따라 산책하기
3. 든든하게 먹을 수 있는 동네 맛집 가기
4. 골목의 분위기 좋은 감성 카페에서 커피 즐기기"
이촌역,4호선,"국립중앙박물관과 이촌한강공원 사이로, 문화와 자연이 여유롭게 어우러진 역이에요.","1. 대형 박물관에서 깊이 있는 역사 관람하기
2. 인근 대형 몰에서 쇼핑하며 시간 보내기
3. 한강공원과 가족공원에서 탁 트인 바람 맞으며 산책하기
4. 정갈한 식사를 맛보고 조용한 동네 카페에서 쉬어가기"
동작역,4호선,"현충원의 고즈넉함과 세빛섬·서래섬의 한강 풍경이 공존하는, 차분한 강변 역이에요.","1. 인근 국립묘지를 산책하며 고즈넉한 분위기 느끼기
2. 한강 인근 섬과 전망쉼터에서 경치 감상하기
3. 물가를 따라 걸으며 사진으로 남기기
4. 맛있는 식사 후 한강뷰 카페에서 여유 즐기기"
마장역,5호선,"축산물시장의 활기와 벽화마을 골목, 청계천 물길이 어우러진 정겨운 역이에요.","1. 대형 축산물시장 구경 후 든든하게 고기 식사하기
2. 벽화마을 골목골목을 구경하며 사진 찍기
3. 청계천 물길을 따라 걷거나 인근 공원 산책하기
4. 든든한 식사 후 아늑한 동네 카페에서 쉬어가기"
애오개역,5호선,"서소문성지역사박물관과 경의선숲길을 따라, 차분한 역사와 공덕 감성이 흐르는 역이에요.","1. 인근 역사박물관을 구경하며 차분하게 시간 보내기
2. 동네 시장 구경 후 든든한 맛집 탐방하기
3. 인근 공원들에서 동네 산책하기
4. 숲길을 따라 걷고 분위기 좋은 감성 카페 들르기"
신금호역,5호선,"복합문화공간과 배수지공원 언덕 사이로, 남산자락숲길까지 이어지는 조용한 역이에요.","1. 인근 복합문화공간에서 전시 둘러보기
2. 전통시장 구경 후 동네 맛집 탐방하기
3. 배수지공원과 근린공원에서 가볍게 언덕 산책하기
4. 산자락 숲길을 걸은 뒤 조용한 동네 카페에서 휴식하기"
아차산역,5호선,"서울어린이대공원의 초록빛과 아차산 산책길이 어우러진, 자연 가득한 역이에요.","1. 인근 대공원에서 동물원과 식물원 구경하기
2. 걷기 좋은 인근 정원과 공원 산책하기
3. 특색 있는 동네 맛집 방문하기
4. 아늑하고 차분한 동네 감성 카페에서 여유롭게 커피 한 잔하기"
영등포시장역,5호선,"타임스퀘어의 활기와 전통시장 노포 골목이 공존하는, 활기찬 도심 역이에요.","1. 대형 복합쇼핑몰에서 쇼핑하며 실내 시간 보내기
2. 전통시장에서 먹거리와 시장 골목 구경하기
3. 노포 및 동네 숨은 맛집 탐방하기
4. 인근 공원을 가볍게 산책하고 분위기 좋은 골목 카페 가기"
방이역,5호선,"한성백제박물관과 먹자골목, 올림픽공원이 어우러진 역사와 활기의 역이에요.","1. 인근 박물관과 미술관에서 전시 관람하기
2. 먹자골목에서 다양한 맛집 탐방하기
3. 인근 대형 공원과 광장 산책하기
4. 차분한 분위기의 카페에서 커피 한 잔 즐기기"
