station_name,line_names
4.19민주묘지역,우이신설선
가락시장역,3호선|8호선
가산디지털단지역,1호선|7호선
가양역,9호선
가오리역,우이신설선
가좌역,경의중앙선
강남구청역,7호선|수인분당선
강남역,2호선|신분당선
강동구청역,8호선
강동역,5호선
강변역,2호선
강일역,5호선
개롱역,5호선
개봉역,1호선
개포동역,수인분당선
개화산역,5호선
개화역,9호선
거여역,5호선
건대입구역,2호선|7호선
경복궁역,3호선
경찰병원역,3호선
고덕역,5호선
고려대역,6호선
고속터미널역,3호선|7호선|9호선
공덕역,5호선|6호선|경의중앙선|공항철도
공릉역,7호선
공항시장역,9호선
관악산역,신림선
광나루역,5호선
광운대역,1호선|경의중앙선|경춘선
광화문역,5호선
광흥창역,6호선
교대역,2호선|3호선
구로디지털단지역,2호선
구로역,1호선
구룡역,수인분당선
구반포역,9호선
구산역,6호선
구의역,2호선
구일역,1호선
구파발역,3호선
국회의사당역,9호선
군자역,5호선|7호선
굽은다리역,5호선
금천구청역,1호선
금호역,3호선
길동역,5호선
길음역,4호선
김포공항역,5호선|9호선|공항철도|김포골드라인|서해선
까치산역,5호선
낙성대역,2호선
남구로역,7호선
남부터미널역,3호선
남성역,7호선
남영역,1호선
남태령역,4호선
내방역,7호선
노들역,9호선
노량진역,1호선|9호선
노원역,4호선|7호선
녹번역,3호선
녹사평역,6호선
녹천역,1호선
논현역,7호선|신분당선
답십리역,5호선
당곡역,신림선
당산역,2호선|9호선
대림역,2호선|7호선
대모산입구역,수인분당선
대방역,1호선|신림선
대청역,3호선
대치역,3호선
대흥역,6호선
도곡역,3호선|수인분당선
도림천역,2호선
도봉산역,1호선|7호선
도봉역,1호선
독립문역,3호선
독바위역,6호선
독산역,1호선
돌곶이역,6호선
동대문역,1호선|4호선
동대문역사문화공원역,2호선|4호선|5호선
동대입구역,3호선
동묘앞역,1호선|6호선
동작역,4호선|9호선
둔촌동역,5호선
둔촌오륜역,9호선
등촌역,9호선
디지털미디어시티역,6호선|경의중앙선|공항철도
뚝섬역,2호선
마곡나루역,9호선|공항철도
마곡역,5호선
마들역,7호선
마장역,5호선
마천역,5호선
마포구청역,6호선
마포역,5호선
망우역,경의중앙선|경춘선
망원역,6호선
매봉역,3호선
먹골역,7호선
면목역,7호선
명동역,4호선
명일역,5호선
목동역,5호선
몽촌토성역,8호선
무악재역,3호선
문래역,2호선
문정역,8호선
미아사거리역,4호선
미아역,4호선
반포역,7호선
발산역,5호선
방배역,2호선
방이역,5호선
방학역,1호선
방화역,5호선
버티고개역,6호선
보라매공원역,신림선
보라매병원역,신림선
보라매역,7호선|신림선
보문역,6호선|우이신설선
복정역,8호선|수인분당선
봉은사역,9호선
봉천역,2호선
봉화산역,6호선
북한산보국문역,우이신설선
북한산우이역,우이신설선
불광역,3호선|6호선
불암산역,4호선
사가정역,7호선
사당역,2호선|4호선
사평역,9호선
삼각지역,4호선|6호선
삼성역,2호선
삼성중앙역,9호선
삼양사거리역,우이신설선
삼양역,우이신설선
삼전역,9호선
상계역,4호선
상도역,7호선
상봉역,7호선|경의중앙선|경춘선
상수역,6호선
상왕십리역,2호선
상월곡역,6호선
상일동역,5호선
새절역,6호선
샛강역,9호선|신림선
서강대역,경의중앙선
서대문역,5호선
서빙고역,경의중앙선
서울대벤처타운역,신림선
서울대입구역,2호선
서울숲역,수인분당선
서울역,1호선|4호선|경의중앙선|공항철도
서울지방병무청역,신림선
서원역,신림선
서초역,2호선
석계역,1호선|6호선
석촌고분역,9호선
석촌역,8호선|9호선
선릉역,2호선|수인분당선
선유도역,9호선
선정릉역,9호선|수인분당선
성수역,2호선
성신여대입구역,4호선|우이신설선
솔밭공원역,우이신설선
솔샘역,우이신설선
송정역,5호선
송파나루역,9호선
송파역,8호선
수락산역,7호선
수색역,경의중앙선
수서역,3호선|수인분당선
수유역,4호선
숙대입구역,4호선
숭실대입구역,7호선
시청역,1호선|2호선
신금호역,5호선
신길역,1호선|5호선
신내역,6호선|경춘선
신논현역,9호선|신분당선
신답역,2호선
신당역,2호선|6호선
신대방삼거리역,7호선
신대방역,2호선
신도림역,1호선|2호선
신림역,2호선|신림선
신목동역,9호선
신반포역,9호선
신방화역,9호선
신사역,3호선|신분당선
신설동역,1호선|2호선|우이신설선
신용산역,4호선
신이문역,1호선
신정네거리역,2호선
신정역,5호선
신촌역,2호선|경의중앙선
신풍역,7호선
쌍문역,4호선
아차산역,5호선
아현역,2호선
안국역,3호선
안암역,6호선
암사역,8호선
암사역사공원역,8호선
압구정로데오역,수인분당선
압구정역,3호선
애오개역,5호선
약수역,3호선|6호선
양원역,경의중앙선
양재시민의숲역,신분당선
양재역,3호선|신분당선
양천구청역,2호선
양천향교역,9호선
양평역,5호선
어린이대공원역,7호선
언주역,9호선
여의나루역,5호선
여의도역,5호선|9호선
역삼역,2호선
역촌역,6호선
연신내역,3호선|6호선
염창역,9호선
영등포구청역,2호선|5호선
영등포시장역,5호선
영등포역,1호선
오금역,3호선|5호선
오류동역,1호선
오목교역,5호선
옥수역,3호선|경의중앙선
온수역,1호선|7호선
올림픽공원역,5호선|9호선
왕십리역,2호선|5호선|수인분당선|경의중앙선
외대앞역,1호선
용답역,2호선
용두역,2호선
용마산역,7호선
용산역,1호선|경의중앙선
우장산역,5호선
월계역,1호선
월곡역,6호선
월드컵경기장역,6호선
을지로3가역,2호선|3호선
을지로4가역,2호선|5호선
을지로입구역,2호선
응봉역,경의중앙선
응암역,6호선
이대역,2호선
이수역,7호선
이촌역,4호선|경의중앙선
이태원역,6호선
일원역,3호선
자양역,7호선
잠실나루역,2호선
잠실새내역,2호선
잠실역,2호선|8호선
잠원역,3호선
장승배기역,7호선
장지역,8호선
장한평역,5호선
정릉역,우이신설선
제기동역,1호선
종각역,1호선
종로3가역,1호선|3호선|5호선
종로5가역,1호선
종합운동장역,2호선|9호선
중계역,7호선
중곡역,7호선
중랑역,경의중앙선|경춘선
중앙보훈병원역,9호선
중화역,7호선
증미역,9호선
증산역,6호선
창동역,1호선|4호선
창신역,6호선
천왕역,7호선
천호역,5호선|8호선
청계산입구역,신분당선
청구역,5호선|6호선
청담역,7호선
청량리역,1호선|경의중앙선
총신대입구역,4호선|7호선
충무로역,3호선|4호선
충정로역,2호선|5호선
태릉입구역,6호선|7호선
하계역,7호선
학동역,7호선
학여울역,3호선
한강진역,6호선
한남역,경의중앙선
한성대입구역,4호선
한성백제역,9호선
한양대역,2호선
한티역,수인분당선
합정역,2호선|6호선
행당역,5호선
혜화역,4호선
홍대입구역,2호선|경의중앙선|공항철도
홍제역,3호선
화계역,우이신설선
화곡역,5호선
화랑대역,6호선
회기역,1호선|경의중앙선
회현역,4호선
효창공원앞역,6호선|경의중앙선
흑석역,9호선
